Epocs,softmax_lr_avg,softmax_lr_median,softmax_lr_std,softmax_lr_var,softmax_lr_max,softmax_lr_min,sgd_avg,sgd_median,sgd_std,sgd_var,sgd_max,sgd_min,sgd_lr_avg,sgd_lr_median,sgd_lr_std,sgd_lr_var,sgd_lr_max,sgd_lr_min
42,3.7551038872381173,3.749114751815796,0.04061099678367943,0.0016492530597640208,3.8698229789733887,3.622852325439453,3.482384655046167,3.478876829147339,0.030902312483954014,0.0009549529168559401,3.679236888885498,3.3985707759857178,3.482384655046167,3.478876829147339,0.030902312483954014,0.0009549529168559401,3.679236888885498,3.3985707759857178
43,25.18505796882677,18.717679977416992,20.330998644715024,413.3495058914041,55.50729751586914,3.709071397781372,3.4743716346551174,3.4706854820251465,0.031115921865273066,0.0009682005935257784,3.675729274749756,3.3878588676452637,3.4743716346551174,3.4706854820251465,0.031115921865273066,0.0009682005935257784,3.675729274749756,3.3878588676452637
44,19.90524725588212,17.536169052124023,12.607993532513962,158.9615009159139,48.04856491088867,4.693253040313721,3.4664796835147076,3.4632492065429688,0.031116667568046937,0.0009682470005403441,3.6654305458068848,3.377920627593994,3.4664796835147076,3.4632492065429688,0.031116667568046937,0.0009682470005403441,3.6654305458068848,3.377920627593994
45,4.243066085791736,4.160417079925537,0.23906317542888555,0.057151201846142106,5.155196666717529,3.7928218841552734,3.4586424872001507,3.456425905227661,0.03109071442940508,0.0009666325237308172,3.658313512802124,3.372321128845215,3.4586424872001507,3.456425905227661,0.03109071442940508,0.0009666325237308172,3.658313512802124,3.372321128845215
46,3.8007719220582,3.788715124130249,0.06089184261339075,0.0037078164968539495,4.054326057434082,3.6684865951538086,3.4516928225570584,3.449007749557495,0.03117816475147779,0.0009720779572702921,3.650660753250122,3.366628646850586,3.4516928225570584,3.449007749557495,0.03117816475147779,0.0009720779572702921,3.650660753250122,3.366628646850586
47,3.719078262400183,3.7143330574035645,0.030260159963771238,0.0009156772810330238,3.833549976348877,3.6411595344543457,3.4453834036122197,3.442485809326172,0.030673510254854004,0.0009408642313546337,3.641848087310791,3.3617942333221436,3.4453834036122197,3.442485809326172,0.030673510254854004,0.0009408642313546337,3.641848087310791,3.3617942333221436
48,3.7200890772090935,3.7163710594177246,0.029479724943592925,0.0008690541827498948,3.819716691970825,3.644435405731201,3.4394611927293104,3.436253309249878,0.03070368153356831,0.0009427160597147837,3.639554977416992,3.3549768924713135,3.4394611927293104,3.436253309249878,0.03070368153356831,0.0009427160597147837,3.639554977416992,3.3549768924713135
49,3.723150502080503,3.718245029449463,0.029904650332691938,0.0008942881115205721,3.815887212753296,3.6351702213287354,3.433963283989,3.4302589893341064,0.03075299887659076,0.0009457469399035925,3.6313514709472656,3.3488144874572754,3.433963283989,3.4302589893341064,0.03075299887659076,0.0009457469399035925,3.6313514709472656,3.3488144874572754
50,3.726151772907802,3.7221360206604004,0.030395627978395127,0.0009238942002009967,3.82039475440979,3.6294069290161133,3.429253489334391,3.4269747734069824,0.03080486013136123,0.0009489394077127286,3.628685474395752,3.345384120941162,3.429253489334391,3.4269747734069824,0.03080486013136123,0.0009489394077127286,3.628685474395752,3.345384120941162
51,3.7305918702427645,3.7265782356262207,0.030706187091846904,0.0009428699257195055,3.8127057552337646,3.6222755908966064,3.4243812264863007,3.4213857650756836,0.030615145941560045,0.0009372871610230204,3.621011972427368,3.3424201011657715,3.4243812264863007,3.4213857650756836,0.030615145941560045,0.0009372871610230204,3.621011972427368,3.3424201011657715
